,sentence,word,nell_category,word_tag,nell_category_tag,word_is_category,distance_from_category,number_of_occurrences,is_category_candidate
0,Bad rap actors good rap actors list?,bad,actor,JJ,NNS,no,2,3,
1,Bad rap actors good rap actors list?,rap,actor,NN,NNS,no,1,2,
2,Bad rap actors good rap actors list?,good,actor,JJ,NNS,no,1,11,
3,Bad rap actors good rap actors list?,rap,actor,NN,NNS,no,1,2,
4,Bad rap actors good rap actors list?,list,actor,NN,NNS,no,4,7,
5,list of hispanic actors?,hispanic,actor,JJ,NNS,no,1,4,
6,Who are a and b list actors?,list,actor,NN,NNS,no,1,7,
7,List of famous black actors?,famous,actor,JJ,NNS,no,2,10,
8,List of famous black actors?,black,actor,JJ,NNS,no,1,7,
9,How many nerdy/geeky actors can you list?,many,actor,JJ,NNS,no,2,3,
10,How many nerdy/geeky actors can you list?,nerdy,actor,nan,NNS,no,8,2,
11,How many nerdy/geeky actors can you list?,geeky,actor,nan,NNS,no,8,2,
12,Can anyone give me a list of good actors?,good,actor,JJ,NNS,no,1,11,
13,Give me a list of attractive iranian actors.?,attractive,actor,JJ,NNS,no,2,2,
14,Give me a list of attractive iranian actors.?,iranian,actor,JJ,NNS,no,1,1,
15,A-list actors or character actors?,a-list,actor,JJ,NNS,no,1,2,
16,A-list actors or character actors?,character,actor,NN,NNS,no,2,2,
17,List of comic actors?,comic,actor,JJ,NNS,no,1,1,
18,Can some give me a list of Black Martial artist actors ?,black,actor,JJ,NNS,no,3,7,
19,Can some give me a list of Black Martial artist actors ?,martial,actor,JJ,NNS,no,2,1,
20,Can some give me a list of Black Martial artist actors ?,artist,actor,NN,NNS,no,1,1,
21,List some hot young actors?,hot,actor,JJ,NNS,no,2,3,
22,List some hot young actors?,young,actor,JJ,NNS,no,1,15,
23,"Cute, young male actor for a character list?",young,male,JJ,NN,no,1,2,
24,"Cute, young male actor for a character list?",actor,male,NN,NN,yes,1,18,
25,"Cute, young male actor for a character list?",young,actor,JJ,NN,no,2,15,
26,"Cute, young male actor for a character list?",male,actor,NN,NN,yes,1,18,
27,Where can i find a list to identify tv ad actors?,tv,actor,NN,NNS,no,2,1,
28,Where can i find a list to identify tv ad actors?,ad,actor,NN,NNS,no,1,1,
29,MALE ACTORS HOT LIST?, act,male,nan,JJ,no,5,1,
30,MALE ACTORS HOT LIST?,ors hot list,male,nan,JJ,no,5,1,
31,Scottish actors???????,scottish,actor,JJ,NNS,no,1,3,
32,Hispanic actors?,hispanic,actor,JJ,NNS,no,1,4,
33,Can you list top 5 Korean actor and actress that is hot right now?,top,actor,JJ,NN,no,3,2,
34,Can you list top 5 Korean actor and actress that is hot right now?, 5 k,actor,nan,NN,no,15,1,
35,Can you list top 5 Korean actor and actress that is hot right now?,orean,actor,nan,NN,no,15,1,
36,Can someone help me with a list of famous German actors?,famous,actor,JJ,NNS,no,2,10,
37,Can someone help me with a list of famous German actors?,german,actor,JJ,NNS,no,1,1,
38,I am looking for a list of Bollywood actors?,bollywood,actor,NN,NNS,no,1,5,
39,"
List of teen male actors?",teen,male,JJ,JJ,no,1,3,
40,"
List of teen male actors?",actor,male,NNS,JJ,yes,1,18,
41,"
List of teen male actors?",teen,actor,JJ,NNS,no,2,5,
42,"
List of teen male actors?",male,actor,JJ,NNS,yes,1,18,
43,"Most complete list of male actors that act stupid ie. jerry lewis, jack tripper, fred flintstone,?",actor,male,NNS,JJ,yes,1,18,
